epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,12231.6,1.12287,0.81763,1.57611,0.77285,0.80126,0.84709,0.64013,1.00733,0.84653,1.70569,0.000970736,0.000970736,0.000970736
24,12634.1,1.10258,0.80121,1.53075,0.81608,0.81334,0.87486,0.66963,0.98843,0.81889,1.82138,0.000968045,0.000968045,0.000968045
25,13394.9,1.09635,0.80227,1.54836,0.79246,0.80227,0.86054,0.65944,0.98311,0.84114,1.8234,0.000965239,0.000965239,0.000965239
26,13861.6,1.14999,0.84019,1.53668,0.83255,0.8045,0.87745,0.66544,0.99119,0.78023,1.69171,0.00096232,0.00096232,0.00096232
27,14609.4,1.09313,0.81736,1.54917,0.80776,0.79214,0.86748,0.66765,1.00499,0.83591,1.87869,0.000959289,0.000959289,0.000959289
28,14843.1,1.08467,0.78059,1.53542,0.82015,0.80933,0.87411,0.66632,0.97581,0.78696,1.77762,0.000956145,0.000956145,0.000956145
29,15321.7,1.11131,0.81276,1.53199,0.80079,0.79398,0.85952,0.65411,1.00302,0.88383,1.75765,0.000952889,0.000952889,0.000952889
30,15552.3,1.07595,0.77568,1.54098,0.77883,0.8098,0.84893,0.64203,0.98904,0.89112,1.681,0.000949524,0.000949524,0.000949524
31,16054.9,1.10351,0.80806,1.53982,0.79761,0.83853,0.87106,0.66785,0.9901,0.83959,1.73519,0.000946048,0.000946048,0.000946048
32,16609.4,1.09071,0.79321,1.53218,0.8101,0.8042,0.86895,0.66489,0.95993,0.85495,1.79319,0.000942464,0.000942464,0.000942464
33,16893,1.0759,0.77363,1.52627,0.80649,0.81893,0.86759,0.65342,0.99644,0.84957,1.7057,0.000938772,0.000938772,0.000938772
34,17646.7,1.0967,0.78278,1.56747,0.81989,0.80367,0.86681,0.66291,0.97312,0.81213,1.73345,0.000934973,0.000934973,0.000934973
35,17874.5,1.09545,0.78363,1.50656,0.80479,0.83289,0.87135,0.67559,0.96211,0.81177,1.68253,0.000931067,0.000931067,0.000931067
36,18086,1.07425,0.77856,1.51087,0.83058,0.79175,0.87349,0.67987,0.9539,0.83374,1.95173,0.000927057,0.000927057,0.000927057
37,18459,1.08925,0.78281,1.53196,0.81603,0.82407,0.88349,0.67773,0.97122,0.75573,1.75941,0.000922942,0.000922942,0.000922942
38,18803,1.06718,0.76482,1.51332,0.80005,0.81394,0.86779,0.66943,0.97326,0.83517,1.71996,0.000918725,0.000918725,0.000918725
